text,label
RAW VIDEO: HILLARY AND BILL CLINTON DANCIN’ AND GETTIN’ DOWN AT A HAMPTONS PARTY,FAKE
Trump says Israel should be 'reasonable' in peace process,REAL
ELEMENTARY SCHOOL PLANS ‘BLACKS ONLY’ FIELD TRIP TO COLLEGE FOR THIRD GRADERS,FAKE
"Czech parliament picks speaker, opens way for new prime minister",REAL
 Report: Corrupt Wall Streeters Are Three Times More Likely To Go Unpunished Under Trump,FAKE
Trump on Obamacare repeal: from boasts of greatness to lessons learned,REAL
Russian Islamic State fighter sentenced to hang in Iraq,REAL
 Women Will Get More Elected Representation If Clinton Becomes President,FAKE
Australian PM future safeguarded in crucial Sydney by-election,REAL
Treasury's Mnuchin to 'push hard' for U.S. interests at G20: official,REAL
Saudis pledge $100 million to African anti-jihadist force: Mali,REAL
Philippine leader changes his tune with praise for U.S. 'allies',REAL
" FBI MEMO CONFIRMS: Trump Told Comey To End Russia Probe, Attack Press In The Most ABHORRENT Way",FAKE
WATCH: SEAN HANNITY FANS Make HILARIOUS Videos Showing How They Destroyed Their Keurig Coffee Makers…Sean Responds With Awesome Award For Best Video #BoycottKeurig,FAKE
Exclusive: South Sudan's government using food as weapon of war - U.N. report,REAL
USDA disavows gag-order emailed to scientific research unit,REAL
BOILER ROOM – EP #50 – 1 Year Anniversary Extravaganza!!!,FAKE
Trump visit to Britain still unfixed nine months after PM May's invitation: sources,REAL
 WTF: There’s A ‘Make America Great Again’ Hat In A Museum Case At Trump’s Election Venue (IMAGE),FAKE
ENVIRONMENTAL TERRORISTS Videotape Themselves Carving A Quote Into Trump Golf Course Green…The Liberal Media Calls It “A Daring Act of Defiance” [Video],FAKE
Dutch tourist group cuts South Africa visit short after armed bus robbery,REAL
Justice Department appeals judge's immigration order,REAL
U.S. 'disappointed' by India's visa refusal for religious rights panel,REAL
Trump to sign executive order Tuesday on infrastructure projects,REAL
Factbox: Catalonia crisis - What's next?,REAL
 WATCH Veteran Rip Trump A New One: I Defended This Country Alongside The People You Hate,FAKE
 You Will Not BELIEVE What Conservatives Actually Think About Scalia’s Death (SCREENSHOTS/VIDEO),FAKE
 Grab Your Popcorn: Ryan Bundy Pretty Much Just Volunteered For Prison,FAKE
"Lebanon's Hariri lands in Cyprus, meets its president- Hariri Twitter feed",REAL
Australian women go pro on back of investment boom,REAL
 Trump Tells China To Keep Our Navy Drone And Gets POUNDED For Being So Unstable,FAKE
Kurdish leader Barzani resigns after independence vote backfires,REAL
Argentine mid-term campaign pauses after body found in Patagonia,REAL
Congress to fund more detention beds despite drop in border crossings,REAL
WHOA! HILLARY JUST PULLED A “MITT ROMNEY”…She May Not Recover From This One [Audio],FAKE
Blumenthal asks antitrust pick to discuss White House role in AT&T deal,REAL
" Wealthy Man Passes Away, Leaves Millions To Open Ohio Animal Shelter",FAKE
 WATCH: Chris Wallace NAILS Trump For Touting Jobs Reports He Once Called ‘Phony’,FAKE
(VIDEO) OBAMA ON LETTERMAN: “WE IGNORE POCKETS OF POVERTY” BUT OBAMA’S STIMULUS GAVE $1.8 BILLION TO BALTIMORE,FAKE
Race Obsessed Democrat Congressman CAUGHT Allowing Daughter To Use Vehicle With Congressional Plates As Taxi For Hire,FAKE
Tillerson's Asia trip not seen producing concrete action on North Korea: State Dept,REAL
Israeli minister says Trump speech may start war with Iran,REAL
MEET THE TRUMPS: In Case You Missed It….Here’s Barbara Walters Exclusive Interview With The Trumps [VIDEO],FAKE
House committee launches review of FDA criminal office,REAL
"PATRIOTS OWNER On Trump: “In The Toughest Time In My Life, He Was There For Me When My Beloved Wife Died, He Called Me Once A Week For About A Year, ‘How ya doing?'” [VIDEO]",FAKE
 WATCH: Giuliani’s BIG LIE At Trump Rally Is Jaw-Dropping,FAKE
"U.N. braces for more Rohingya to flee, seeks access to Rakhine, Myanmar",REAL
Mueller impanels Washington grand jury in Russia probe: Wall Street Journal,REAL
HACKED! COMMIE GEORGE SOROS Hacked By DC Leaks!,FAKE
 Comedian Margaret Cho Compares Donald Trump To Roman Emperor Nero,FAKE
Macron's ideas can bolster Franco-German axis: Merkel,REAL
" In STUNNING Admission, John McCain Just Handed Democrats The Senate (AUDIO)",FAKE
U.S. tax bill may face lawsuits with long odds but political payoffs,REAL
 How John Oliver And A Cat Created An International Incident (VIDEO),FAKE
WOW! TRUMP HELPS HILLARY SEE Her First Big Crowd…You Won’t Want To Miss This! [VIDEO],FAKE
Sign-up pace slows in third week of 2018 Obamacare enrollment,REAL
" Trump Tries To Launch 2020 Re-election Ad, It IMMEDIATELY Blows Up In His Face (TWEET)",FAKE
The Jerusalem Decision: From Creative Chaos to Effective Turmoil,FAKE
Syrian army and Iranian-backed militias push towards Idlib province,REAL
Pence says NAFTA renegotiation will be a 'win win win',REAL
Trump health pick favors insurance for people with prior illness,REAL
 WATCH Trump Absolutely CRUSH His Wife In Viral Video Clip From Inauguration,FAKE
Turkey suspends all non-immigrant visa services at all diplomatic facilities in U.S.,REAL
"WATCH: LAST WEEK Giants’ Odell Beckham Jr., “PEED” On The Field, Raised A “Black Power” Fist, and Kneeled For Our National Anthem…Today, He Left The Field Crying Like A Baby",FAKE
Graft suspected in Indonesian anti-corruption monument project,REAL
 ‘Family Values’ Republican Busted For Having A Sex Video Of Himself On Government Computer,FAKE
UK lawmakers vent anger at PM May's fragile government over welfare reform,REAL
"Losing immunity, German anti-immigrant party's co-head may face perjury charge",REAL
UCLA basketball players arrested in China ahead of Trump's visit: reports,REAL
LOL! Lifetime Politician Who Got 2% Support From Voters In GOP Primaries Tells CBS: “I don’t know what ‘America First’ Means” [VIDEO],FAKE
Putin says he doubts Trump met with Moscow prostitutes,REAL
"WHITE WASHED? Trump Claims Classified JFK Files Will Be Released, Reigniting Conspiracy Suspicions",FAKE
"China says it will handle North Korea trade issues for benefit to peace, stability",REAL
Boat carrying asylum seekers from Myanmar capsizes off Bangladesh,REAL
 Man Who Said There Was No Recession DURING The Great Recession Is Rumored For Top Economic Post,FAKE
Putin says stronger Russia-China ties a major boon for everyone,REAL
"Arabs, Europe, U.N. reject Trump's recognition of Jerusalem as Israeli capital",REAL
Saudi Arabia says it dismantles Islamic State cell in Riyadh,REAL
JUST IN: Trump Just Spoke Out On Fate Of UCLA Basketball Players Detained In China [Video],FAKE
Covering Mugabe for Reuters - 'You're the one who says I'm dying?',REAL
Trump criticizes GM for Mexico investments,REAL
Britain wants Zimbabwe to rejoin international community: PM May,REAL
Honduran vote count gives Hernandez 1 point lead over rival,REAL
(VIDEO) SICKENING CHALLENGE GOES VIRAL: DISRESPECTING OUR AMERICAN FLAG BY STOMPING ON IT,FAKE
 Trump’s Meeting With Germany’s Angela Merkel Goes From Awkward To Offensive In Seconds (VIDEO),FAKE
"Republicans propose to delay, pause Obamacare taxes",REAL
Clinton expresses concern about AT&T-Time Warner deal,REAL
U.S. launches opioid fraud and detection unit,REAL
Italy's government wins confidence votes on contested electoral law,REAL
WATCH: MEXICAN-AMERICAN TRUMP Supporter DESTROYS Liberal CA City Council Member: “The problem with liberals is they lay claim to helping minorities but rarely help them”,FAKE
 Poll Shows Hillary Leading Trump With This Surprising Demographic For The First Time Ever,FAKE
October Tease: Wikileaks False Start Leaves Trump Supporters Sleepless and Exasperated,FAKE
Opponents of Saudi 9/11 bill keep up fight ahead of veto override vote,REAL
Exclusive: Pyongyang university to start fall classes without American staff after travel ban,REAL
JUDGE NAPOLITANO On Reckless Hillary’s Emails: She Could Be Responsible For Deaths Of CIA And FBI Agents [VIDEO],FAKE
 WATCH: GOP Senator Yawns As Disabled Healthcare Protesters Are Being Dragged Away By Cops,FAKE
Zimbabwe's Mugabe defies expectations of immediate resignation,REAL
 Veteran’s Letter Thanking Bernie Sanders For Voting Against Iraq War Goes Viral (VIDEO),FAKE
"WOW! EVEN CNN’s REPORTING On Mueller’s New Russian Investigation Hires Who Made Major Contributions To Hillary, Barack, Schumer Campaigns",FAKE
"Republican U.S. health plan clears first hurdles, fate uncertain",REAL
"WATCH: BEYONCE Performed This Sickening, Cop-Hating, Anti-White Song At Super Bowl",FAKE
 Watch Out NRA: President Obama Is Coming For You,FAKE
Trump says Mexico has taken advantage of U.S. 'for long enough',REAL
 Former CIA Director Reveals How Putin Recruited Trump To Be A Double Agent,FAKE
Britain's May says does not set 'red lines' for ministers' behavior,REAL
"Amid opposition, Trump makes low budget request for Mexico border wall",REAL
UK's Johnson in Iran talks to lobby for jailed aid worker,REAL
UK PM May to hold bilateral meeting with Trump at G20: UK govt. official,REAL
Tillerson to visit Africa in first quarter of 2018: adviser,REAL
"Bulgarian, Macedonian Orthodox Churches edge closer despite thorny history",REAL
Obama to deliver statement on the economy: White House,REAL
Fiat Chrysler ready to comply with new rules from Trump administration: CEO,REAL
Pakistani Taliban says behind deadly blast in tribal region,REAL
Trump campaign releases tax returns for Republican VP nominee Pence,REAL
Giuliani pulls out of consideration to serve in administration: Trump,REAL
YOU WON’T BELIEVE THIS! CALIFORNIA GOVERNOR’S Desperate Move To Help Elect Hillary,FAKE
ADELE BREAKS “Best Album” Grammy Award In Half On Stage…Gives Embarrassing “WHITE GUILT” Apology Speech To “More Deserving” Beyoncé…”The way you make my black friends feel” [VIDEO],FAKE
Mexico presidential hopeful hemmed in by ruling party legacy,REAL
SPECTACULAR! LEFTIST MEDIA MELTS DOWN When They Realize America Didn’t Buy Their Lies…Elected Trump Anyhow [VIDEO],FAKE
Russia's Lavrov to Iran's Zarif: Moscow committed to Iran nuclear deal,REAL
WOW! BERKELEY MAYOR Who Allegedly Told Police To “Stand Down” Is Part Of Antifa Terrorist Facebook Group,FAKE
Ten million Australians vote so far in same-sex marriage poll,REAL
Venezuela ex-prosecutor says she has evidence of Maduro corruption,REAL
 WATCH: Senator Elizabeth Warren Laughs At Trump’s Pathetic Attempt To Insult Her,FAKE
"Israel hails Trump's 'historic' declaration, Palestinians condemn",REAL
HILLARY’S VP NOMINEE PANDERS TO BLACKS: “I done apologized for slavery”,FAKE
Pro-business parties try to hem German Greens in with red lines,REAL
Trump taps ex-labor board member Acosta to be labor secretary,REAL
" Donors Are So TERRIFIED Of Trump, They’re Begging GOP To Find 3rd Party Candidate To Sabotage Him",FAKE
Six Ugandan MPs ejected in rowdy debate to extend rule of aging Museveni,REAL
 Dem. Senator BLASTS Mitch McConnell For Excluding Women From Panel Drafting New Senate Health Plan,FAKE
Mladic still a hero in dying home village in Bosnia,REAL
 Chicago Police Say They Did Not Tell Trump To Cancel UIC Rally (VIDEO),FAKE
Wisconsin governor backs Republican Ted Cruz in presidential race,REAL
HILLARY TAKES CREDIT For The Arab Spring Disaster…AND SHE WANTS TO BE PRESIDENT?,FAKE
NAILS IT! NIGEL FARAGE Says What Americans are Thinking About “Pathetic” Hillary Clinton [Video],FAKE
"Obama signs defense spending bill, criticizes Guantanamo policy",REAL
 You Really Don’t Want To Miss Ana Navarro PUMMEL Trump’s Chief Racism Apologist (VIDEO),FAKE
TRUMP SLAMS OBAMA AND VOWS To Undo Cuban Policy,FAKE
SICKENING: SOROS’ PROTESTERS Block U.S. Air Force Vets From Entering Inauguration Ceremony [VIDEO],FAKE
JAMES COMEY’S Bombshell Pre-Testimony Statement,FAKE
"'Stop whining' about U.S. elections being rigged, Obama tells Trump",REAL
"BREAKING: Federal Judge STOPS Obamacare Transgender, Abortion Related Protections",FAKE
HEARTBROKEN WOMAN IN TEARS After Boston Antifa Assaults Her: “I’m watching America be destroyed” [Video],FAKE
U.S. will have to work with others to deny North Korea fuel supplies: Tillerson,REAL
U.S.-backed SDF to let Syrian Islamic State fighters leave Raqqa,REAL
DISTURBING VIDEO Shows HILLARY’S Campaign Likely FAKED Her Audience At NC Rally,FAKE
"Canada proposes health warnings, child-proof packs for legal pot sales",REAL
Obama says he will stay in Washington after he leaves White House: USA Today,REAL
 Jared Kushner’s Excuse For The Russian Meeting Would Get Most People Fired,FAKE
U.S. House may consider bill to fund government for a week: source,REAL
"Saudi Prince Lectures America On Democracy, Calling For ‘NEVER TRUMP’",FAKE
Russia says U.S. Iran sanctions undermine nuclear deal,REAL
New York City ad campaign supports transgender bathroom rights,REAL
"LEFTIST MEDIA DESTROYED Mike Flynn, Cracked Jokes After Horrible LIE Obama’s National Security Advisor Told Media, Families Of Benghazi Victims [VIDEO]",FAKE
 Woman Who Defended GOP Against Sexism Charges For Years Just Quit Party With EPIC Twitter Storm,FAKE
"Smaller EU states need stronger voice, not Brussels, says Czech election favorite",REAL
"Obama to deliver statement on economy Tuesday, after inversions move",REAL
Ukraine's Poroshenko suggests IMF-backed anti-graft court will take time,REAL
 Trump Directly Begs Twitter Fans For Money In Unprecedented Desperation (TWEET),FAKE
 Racists Lose Their Minds After Mexican-American Teen Sings National Anthem At Dem Debate (TWEETS),FAKE
Court says Republican gerrymandering in Wisconsin was unconstitutional,REAL
"FBI: Clinton Foundation investigation will lead to ‘Likely Indictment,’ donors funded ISIS",FAKE
"Yemen Houthis say Sanaa airport repaired, ready to receive flights: agency",REAL
Democratic Senator Wyden says he will vote for Puerto Rico debt bill,REAL
ROLLING STONES DEMAND TRUMP Stop Using Their Music: “Can you imagine a President Trump?…The worst nightmare”,FAKE
"China says one step forwards, two steps back no good for Japan ties",REAL
Congress votes to call on Trump to denounce hate groups,REAL
OOPS…CDC EMPLOYEES SICK OF DEALING WITH INFLUX OF ILLEGAL MINORS SENDS EMAIL ABOUT OBAMA: “the worst prez we have ever had…a marxist”,FAKE
MN: SOMALI MUSLIM IMMIGRANTS Explain Why It’s Acceptable To Kill Anyone Who Insults Mohammed [VIDEO],FAKE
CHANGING HIS TUNE: THE MAN WHO WAS IN THE POLICE VAN WITH FREDDIE GRAY BREAKS HIS SILENCE,FAKE
Ex-Marine chosen to direct U.S. extradition efforts,REAL
 Report: Black Women Have Become The Most Educated Group In The U.S. (VIDEO),FAKE
Far-right scores surprise success in Czech election,REAL
"Mexico to cut share of refined sugar sent to U.S., minister says",REAL
THE BRUTAL TRUTH ABOUT BENGHAZI: ’13 HOURS’ In-Home Sales BLOW UP Right Before The Election! Hillary Wants This GONE! [VIDEO],FAKE
Trump to receive multiple options on Iran nuclear deal: Tillerson,REAL
AN ANGRY MARK LEVIN Writes a Letter to CNN Anchor Brian Stelter: “You are so thoroughly dishonest”,FAKE
 How Fox News Helped Domestic Terrorists,FAKE
Factbox: Republican U.S. senators to watch in the debate on the tax bill,REAL
 Reince Priebus Backs Trump’s Claim That The Media Is ‘The Enemy’ (VIDEO),FAKE
Catalan standoff touches separatist hearts beyond Spain,REAL
"In U.S. presidential first, Trump prays at Jerusalem's Western Wall",REAL
Hungary's Jobbik party says fine risks making it insolvent ahead of 2018 vote,REAL
"In first visit, Trump urges reform so U.N. can meet full potential",REAL
HA! YOU WON’T BELIEVE HILLARY’S LUXURY “SCOOBY” VAN!,FAKE
[VIDEO] ABOVE THE LAW: Hillary’s Campaign Van Caught Going 92 in a 65 mph Zone,FAKE
 Another White Trump Supporter Assaults A Black Man At A Terrifying Rally In The South (VIDEO),FAKE
 High Schools Start Caving To Trump – Will Punish Athletes Who Won’t Stand For National Anthem,FAKE
Panama to send immigration envoys to China as visa limits lifted,REAL
Virginia Republican Goodlatte will not seek re-election,REAL
 Here’s How The Bundy Terrorists Left The Malheur Refuge (VIDEO),FAKE
VIOLENT PROTEST Outside Trump Rally In Pittsburgh As Cops Come Down On Black Lives Matter Thugs [Video],FAKE
Obama to hold final press conference on Wednesday: White House,REAL
DEBBIE WASSERMAN SCHULTZ Accuses Obama’s DHS Director Jeh Johnson of Lying Under Oath [Video],FAKE
TRUMP SUPPORTERS STORM MAXINE WATERS TOWN HALL…Demand Entry After Being Denied…”Let us in!” [Video],FAKE
"OREGON: Feds Cover-up Foul Play in Finicum Death, Feds’ Shell Casings ‘Have Gone Missing’",FAKE
 Virginia Paper Trolls Gov. Pat McCrory Hard With Its ‘Endorsement’ For His Re-Election,FAKE
COPS ASK MAYOR TO REMOVE “Black Lives Matter” Banner Hanging At City Hall…His Response Is ASTOUNDING!,FAKE
 WATCH: Violent Trump Fan Shoves Peaceful Protester Down Stairs From Behind Like A Coward,FAKE
GOP Rep Dave Brat HUMILIATES MSNBC Host Craig Melvin Over Liberal Media Bias…Makes Melvin Wish He Never Interviewed Him [VIDEO],FAKE
CNN’s Don Lemon Tries to Downplay Horrific ‘Anti-Trump’ Torture of Mentally Disabled Man,FAKE
LIBERAL HACK ALEC BALDWIN Performed Rank Trump-Bashing Skit Last Night…Baldwin Is No Saint!,FAKE
TRUMP MEETS WITH TECH GIANTS: “Everybody in this room has to like me” [Video],FAKE
 Hillary Clinton BLASTS Steve King’s Blatant Racism: ‘This Is Literally White Supremacy’,FAKE
 Maine GOP State Senator Sick Of His Bullsh*t Demands Censure Of Governor Paul LePage,FAKE
Democratic Senator Schumer to Trump: Stop blaming Puerto Ricans,REAL
GLOBALIST COMMIE BILL DE BLASIO Abandons NYC for G20 Protests…Will Phony de Blasio aka Warren Wilhelm Jr. Get in Touch with his German Roots?,FAKE
OBAMA’S NEW AND “IMPROVED” FBI Offers HUGE Reward For Anyone Who Can Help Frame White Cop In Black THUG Shooting,FAKE
"Oklahoma lawmaker, found with boy in motel, charged with prostitution",REAL
 Late Night Hosts Out Of New York City Utterly CRUCIFY Ted Cruz For Being There (VIDEO),FAKE
"Ahead of debate, Trump endorsed by some Bush alumni",REAL
Exclusive: U.S. budget plan includes over $13 billion for new submarine - sources,REAL
 Trump’s Campaign MAJORLY F*cks Up By Accidentally Emailing Its Anti-Clinton Strategy To A Journalist,FAKE
LOL! DEMOCRAT CHEERLEADER Cokie Roberts Delivers Devastating News To ABC Comrades: “It is Going to Be Very Hard to Defeat” Roy Moore After Trump’s Endorsement [VIDEO],FAKE
Clinton Foundation health project still mulling foreign donations,REAL
Trump son-in-law Kushner's congressional statement,REAL
"U.S. Air Force Runs Out Of Bombs To Drop On ISIS…Don’t Worry Though, Barry’s Got This",FAKE
Kansas governor tapped as religious ambassador reflects on legacy,REAL
Briton pleads guilty to weapons charge over Trump rally incident,REAL
"(VIDEO) WATER WARS: OBAMA’S EPA POWER GRAB TO REGULATE PUDDLES, PONDS, AND JUST ABOUT ANYTHING THAT’S WET",FAKE
DRAIN THE SWAMP! Republicans NOT Running for Re-election in 2018,FAKE
U.S. warns of sanctions on any country trading with North Korea,REAL
"From Wall Street to Wisconsin, brokers cheer Trump's order",REAL
FIRE THIS WOMAN! RANTING NYU PROFESSOR GOES APESH*T On Cops At Protest: “F*ck You NYPD!” [Video],FAKE
Trump to urge all nations to isolate North Korea's 'brutal regime' in South Korea speech,REAL
 Donald Trump Tries To Spin ‘Second Amendment’ Threat And Gets DESTROYED On Twitter,FAKE
Finland wants EU to give up daylight saving time,REAL
"France's Macron seeks renewal of Africa ties, but old problems persist",REAL
" Trump Indicates WH Previously Lied, Second Secret Putin Meeting Was ‘More Than Small Talk’",FAKE
John Kerry commits more U.S. military aid for ex-Soviet Georgia,REAL
OH BOY! TARGET CUSTOMERS RESPOND TO THE NEW GENDER NEUTRAL TOY LABELING,FAKE
 Bombshell Report Shows The Russian Meeting Was No ‘Nothing Burger’,FAKE
"In Cuba visit, Colorado governor sees government desire to work with Trump",REAL
"Senator Collins says not committed to tax bill, concerned about SALT",REAL
Distrustful U.S. allies force spy agency to back down in encryption fight,REAL
Comey says Trump fired him to undermine FBI Russia investigation,REAL
White House to make decision on 9/11 report by June: Bob Graham,REAL
Under Secretary of State Shannon meets Tillerson: U.S. official,REAL
DEMOCRATS THREATEN KIDS EDUCATION: CHICAGO TEACHERS UNION DEMANDS RAISES AS Chicago Public Schools Run Out Of Money In One Week,FAKE
Did Hillary Clinton REALLY Break Her Toe? [VIDEO],FAKE
Philippines president says South China Sea row 'better left untouched',REAL
N. DAKOTA LEGISLATOR Proposes Bill To PROTECT MOTORISTS If They Hit Pipeline Protesters Intentionally Blocking Roads,FAKE
Guatemala prosecutors raid Millicom offices in graft probe,REAL
Religious liberty bill passes Georgia state legislature,REAL
Elite Nazi-allied Order From Hungary Claims Trump Adviser Sebastian Gorka Is Sworn Member,FAKE
Italy government wins all five confidence votes on electoral law,REAL
CONSERVATIVE MOM And Cruz Supporter Goes All In For TRUMP…And Here’s Why,FAKE
"COMMUNIST George Soros Says Trump Will Win Popular Vote In Landslide, But Hillary Wins Presidency…HUH? [VIDEO]",FAKE
SECOND TWIN FALLS SEXUAL ASSAULT CASE…Mohammed Hussein I. Eldai Faces Felony Charges For Sexual Assault Of “Mentally Retarded” Woman,FAKE
Ex-U.S. spy chiefs urge Congress to renew internet surveillance law,REAL
Brazil struggles to help state dependent on Venezuela for power,REAL
Venezuela's Maduro thanks Putin for support in difficult times,REAL
"State Dept. Releases 7,000 Clinton E-mails But The White House Refuses To Release The Most Important Ones",FAKE
Ex-ally of Malaysian PM Najib held in graft probe: source,REAL
" GOP Ex-Gov Of New Jersey Attacks Christie For Endorsing Trump, Will Vote Blue If He Wins",FAKE
House votes to protect 'dark money' political donors,REAL
Obama turns focus to U.S. Congress as he campaigns for Clinton,REAL
WOW! FBI SUED Over Andrew Breitbart Records Request…What Are They Withholding?,FAKE
 Bill O’Reilly Plays Stump The Trump On Foreign Policy And Makes Him Look Like A Fool (VIDEO),FAKE
"Trump's first year in office marked by controversy, protests",REAL
How To WATCH The Highly Anticipated ‘CLINTON CASH’ Movie FREE!…Thanks To Breitbart!,FAKE
Yemeni al Qaeda leader calls for attacks in support of Myanmar's Rohingya,REAL
 Women’s March Now One Of The Most Peaceful Demonstrations In American History,FAKE
Trump to meet congressional leaders next week on legislative issues -White House,REAL
Polish president signs judicial overhaul bills into law,REAL
South Koreans' support for nuclear projects deals blow to government energy plan,REAL
" Cruz Makes Baffling Bestiality Joke About Trump, Marks New Low Point In Campaign",FAKE
SARA CARTER Uncovers Explosive Evidence Of Violations Of American Civil Liberties By Obama [Video],FAKE
Iraq oil ministry warns oil companies against Kurdistan contracts,REAL
Trump's $250 billion China 'miracle' adds gloss to 'off-kilter' trade,REAL
Obama tells Trump to 'stop whining' over rigged election claims,REAL
 Bill Maher And Barney Frank Destroy GOP For Choosing Petty Politics Over Functioning Supreme Court,FAKE
China accuses Australia of paranoia over foreign influence laws,REAL
Egyptian air force strikes arms convoy at Libyan border,REAL
EMBARRASSING: THE VIEW’S Angry Femi-Nazi’s Are No Match For Trump’s Brilliant FEMALE Campaign Manager [VIDEO],FAKE
YOU’LL NEVER GUESS Who The New York Times Is Blaming For North Korea’s Decades-Long Famine,FAKE
"Explain your results, beaten Angola party head tells electoral commission",REAL
Obama says China would not take change in U.S. policy on Taiwan lightly,REAL
Australian former governor-general and peacemaker Ninian Stephen dies at 94,REAL
Republicans may generate less heat at Miami debate,REAL
CHILLING! FOX REPORTER JAMES ROSEN Recounts Being Spied on by the Obama Mafia [Video],FAKE
U.S. education secretary calls Obama transgender guidelines 'overreach',REAL
BEST EVER CROOKED HILLARY Collection Of Lies And Flip Flops [Video],FAKE
"How TYSON FOODS Is DESTROYING Small Towns…Forcing Taxpayers To Pick Up Housing, Healthcare Costs For Muslim Refugees",FAKE
Denmark no longer to automatically accept U.N. refugee resettlement quota,REAL
WATCH: FORMER DNC CHAIR Suggests President Trump Will Be Taken Out Before 2020 Election,FAKE
 Racists Explode As Death Of Bundy Militant Blamed On Jews And White Oppression (IMAGES),FAKE
 Inaugural Cake Baker Brilliantly Schools Anti-Gay Bakers In How Protest Is Done,FAKE
U.S. judge unlikely to remove block on Trump sanctuary city order,REAL
China hopes all sides' words and actions reduce tension on Korean peninsula,REAL
The New Cold War: A Chilling Prospect for the World,FAKE
Democrats ask Trump to veto measure repealing city retirement plan rule,REAL
U.S. quits talks on global migration pact over sovereignty clash,REAL
Fake letters tell Germans the web has worked out their vote,REAL
Exclusive: Trump to focus counter-extremism program solely on Islam - sources,REAL
WHAT THE HECK HAPPENED TO THE 2006 SECURE BORDER FENCE ACT?,FAKE
 National Security Expert Warns Of The DIRE Dangers Of Trump’s Plan For Intel Community (VIDEO),FAKE
"House Speaker Ryan: Call with Trump was good, productive",REAL
French government spokesman gets Macron's backing to lead party,REAL
U.S. diplomacy with North Korea to continue until 'first bomb drops': Tillerson,REAL
 Trump Bragged That He Likes To Go To Russia Because The Women ‘Have No Morals’ (AUDIO),FAKE
Boiler Room #97 – Mermaids and Swamp Life,FAKE
HUD SECRETARY BEN CARSON Ending Obama’s Illegal Section 8 Housing Grant Scheme,FAKE
